job,company_name,location,job_type,description,link,date
Data scientist,None,Rabat,Permanent,Publiée le: 25 Oct-14:16.-Votre mission sera de générer des modèles d’inférence en Machine Learning et DeepLearning (principalement des réseau RNN/CNN) pour des…,https://ma.indeed.com/rc/clk?jk=c51b2eb49acff4a7&fccid=dd616958bd9ddc12&vjs=3,28/10/2023
Data Analyst- Business & Performance,BNP Paribas,Maroc,Permanent,La Data analyst – Business & Performance a comme missions essentielles :-S’appuie sur les études de modélisation du Data analyst - Expert & modèles pour…,https://ma.indeed.com/rc/clk?jk=137625eaa645d886&fccid=1392500f835bba92&vjs=3,28/10/2023
Business Analyst BI (Secteur Bancaire) - Casablanca,WELINK,Rabat,Freelance contract,Modélisation et enrichissement du modèle de données via l’outil de data préparation « Alteryx ».-Maitrise de l’activité data-driven sur l’ensemble du cycle de…,https://ma.indeed.com/rc/clk?jk=039d7ec9f266f4a5&fccid=9c9ceb831ef3d840&vjs=3,28/10/2023
Data Analyst (REF05),Trusted Advisors,Casablanca,None,"Nous recherchons pour le compte d'une banque de la place à Casablanca, un Data Analyst.-Produire des Dashboards pour le métier en se basant sur les besoins…",https://ma.indeed.com/rc/clk?jk=f052434b162d925d&fccid=52c3f2e2cdde3448&vjs=3,28/10/2023
DATA ANALYST (H/F),label vie,Skhirate,Permanent,De 5 à 8 ans.-Analyse des données pour les transformer en informations exploitables.-Définition de la stratégie Data-Driven de l’entreprise.,https://ma.indeed.com/rc/clk?jk=fbb7892526385d06&fccid=b89b9e746240a0c4&vjs=3,28/10/2023
Financial Analyst,Pfizer,El Jadida,Full-time,"Strong analytical and numerical skills, preferably with a background in data analysis.-Location: EL Jadida Site – Morocco.",https://ma.indeed.com/rc/clk?jk=b4cb909a2e01ad2d&fccid=7ff126af0cd3d93b&vjs=3,28/10/2023
Analyst - Data,Orange Business,Salé,None,"Au cœur des nouvelles technologies Big data & Intelligence Artificielle.-Connaissance des outils de développement en Big data (Spark/Scala, Hadoop ...).",https://ma.indeed.com/rc/clk?jk=fe9dbd1cf0a0a134&fccid=24d2bacb9e5b24ee&vjs=3,28/10/2023
Aide data analyst,Data Anlysis et Statistique,Marrakech,Permanent,"Entreprise d’étude de marché et analyses statistique recrute un(e) aide data analyst.-Formation Bac+2, Bac+3 en gestion des entreprises, bonne maitrise de la…",https://ma.indeed.com/rc/clk?jk=89a83208f9568270&fccid=804928545375caf2&vjs=3,28/10/2023
Data Analyst Senior,Mazars,Casablanca,Full-time +1,"Le développement de solutions innovantes sur des socles technologiques variés de data analytics, de data visualization et de programmation : Alteryx, Qlik, SQL,…",https://ma.indeed.com/rc/clk?jk=01cd5679c7af2ba7&fccid=cf80abde47d3bd81&vjs=3,28/10/2023
Senior Business Analyst,Capgemini,Casablanca,Permanent,"With its strong 55-year heritage and deep industry expertise, Capgemini is trusted by its clients to address the entire breadth of their business needs, from…",https://ma.indeed.com/rc/clk?jk=e1319d4b3d4fc584&fccid=105ecfd0283f415f&vjs=3,28/10/2023
